TRACT_NAME,GEOID,STATE,COUNTY,TRACT,MEDIAN_RENT,MEDIAN_INCOME,POP_TOTAL,POP_WHITE
Census Tract 4001; Alameda County; California,06001400100,06,001,400100,3501,250001,3094,2107
Census Tract 4002; Alameda County; California,06001400200,06,001,400200,2949,225880,2093,1408
Census Tract 4003; Alameda County; California,06001400300,06,001,400300,2246,157731,5727,3365
Census Tract 4004; Alameda County; California,06001400400,06,001,400400,2485,159612,4395,2645
Census Tract 4005; Alameda County; California,06001400500,06,001,400500,2154,96250,3822,1696
Census Tract 4006; Alameda County; California,06001400600,06,001,400600,2268,134583,1957,801
Census Tract 4007; Alameda County; California,06001400700,06,001,400700,2185,111302,4404,2230
Census Tract 4008; Alameda County; California,06001400800,06,001,400800,2228,129844,4583,2441
Census Tract 4009; Alameda County; California,06001400900,06,001,400900,2330,111131,2752,959
Census Tract 4010; Alameda County; California,06001401000,06,001,401000,1955,131845,6529,1985
Census Tract 4011; Alameda County; California,06001401100,06,001,401100,2198,95479,5627,2390
Census Tract 4012; Alameda County; California,06001401200,06,001,401200,2500,117593,3068,1764
Census Tract 4013; Alameda County; California,06001401300,06,001,401300,2185,105556,4368,1459
Census Tract 4014; Alameda County; California,06001401400,06,001,401400,1899,87208,4876,1278
Census Tract 4015; Alameda County; California,06001401500,06,001,401500,1409,62744,2827,596
Census Tract 4016; Alameda County; California,06001401600,06,001,401600,2195,135234,2617,552
Census Tract 4017; Alameda County; California,06001401700,06,001,401700,2835,146840,3519,1390
Census Tract 4018; Alameda County; California,06001401800,06,001,401800,1648,69500,1816,482
Census Tract 4022; Alameda County; California,06001402200,06,001,402200,2574,111364,2385,817
Census Tract 4024; Alameda County; California,06001402400,06,001,402400,1252,42078,2727,424
Census Tract 4025; Alameda County; California,06001402500,06,001,402500,1033,,1877,442
Census Tract 4026; Alameda County; California,06001402600,06,001,402600,1196,48362,1255,141
Census Tract 4027; Alameda County; California,06001402700,06,001,402700,2188,97250,2056,494
Census Tract 4028.01; Alameda County; California,06001402801,06,001,402801,1752,42546,2911,764
Census Tract 4028.02; Alameda County; California,06001402802,06,001,402802,757,18552,1527,378
Census Tract 4029; Alameda County; California,06001402900,06,001,402900,1907,41094,2111,467
Census Tract 4030; Alameda County; California,06001403000,06,001,403000,1603,50966,3125,401
Census Tract 4031; Alameda County; California,06001403100,06,001,403100,3139,154095,2174,720
Census Tract 4033.01; Alameda County; California,06001403301,06,001,403301,1793,35694,1807,97
Census Tract 4033.02; Alameda County; California,06001403302,06,001,403302,3043,142114,2687,1198
Census Tract 4034.01; Alameda County; California,06001403401,06,001,403401,1745,71979,2641,1132
Census Tract 4034.02; Alameda County; California,06001403402,06,001,403402,1614,91731,955,416
Census Tract 4035.01; Alameda County; California,06001403501,06,001,403501,2059,123981,5421,1893
Census Tract 4035.02; Alameda County; California,06001403502,06,001,403502,2003,95556,1885,867
Census Tract 4036; Alameda County; California,06001403600,06,001,403600,2053,105588,4902,1717
Census Tract 4037.01; Alameda County; California,06001403701,06,001,403701,2569,91030,2875,1190
Census Tract 4037.02; Alameda County; California,06001403702,06,001,403702,2301,120795,2264,1235
Census Tract 4038; Alameda County; California,06001403800,06,001,403800,2338,153750,3996,2450
Census Tract 4039; Alameda County; California,06001403900,06,001,403900,2257,104342,3864,2526
Census Tract 4040; Alameda County; California,06001404000,06,001,404000,2145,104919,2984,1558
Census Tract 4041.01; Alameda County; California,06001404101,06,001,404101,2343,123508,3155,2150
Census Tract 4041.02; Alameda County; California,06001404102,06,001,404102,2130,108750,2623,1468
Census Tract 4042; Alameda County; California,06001404200,06,001,404200,2918,246193,3584,2467
Census Tract 4043; Alameda County; California,06001404300,06,001,404300,3501,215972,3510,2617
Census Tract 4044; Alameda County; California,06001404400,06,001,404400,3501,218272,5657,3042
Census Tract 4045.01; Alameda County; California,06001404501,06,001,404501,3501,239271,1830,1124
Census Tract 4045.02; Alameda County; California,06001404502,06,001,404502,3501,246431,6038,3883
Census Tract 4046; Alameda County; California,06001404600,06,001,404600,2935,226838,4767,2851
Census Tract 4047; Alameda County; California,06001404700,06,001,404700,3175,250001,2223,1471
Census Tract 4048; Alameda County; California,06001404800,06,001,404800,1661,97813,2622,1372
Census Tract 4049; Alameda County; California,06001404900,06,001,404900,2221,131921,4798,2667
Census Tract 4050; Alameda County; California,06001405000,06,001,405000,2046,146932,3670,2087
Census Tract 4051; Alameda County; California,06001405100,06,001,405100,,250001,4451,2831
Census Tract 4052; Alameda County; California,06001405200,06,001,405200,1847,107298,4916,1350
Census Tract 4053.01; Alameda County; California,06001405301,06,001,405301,2030,113299,2934,1435
Census Tract 4053.02; Alameda County; California,06001405302,06,001,405302,1833,63906,2560,849
Census Tract 4054.01; Alameda County; California,06001405401,06,001,405401,1829,73179,3733,796
Census Tract 4054.02; Alameda County; California,06001405402,06,001,405402,1268,52738,3325,631
Census Tract 4055; Alameda County; California,06001405500,06,001,405500,1734,82740,3574,696
Census Tract 4056; Alameda County; California,06001405600,06,001,405600,1898,86250,3153,755
Census Tract 4057; Alameda County; California,06001405700,06,001,405700,1844,77372,3553,537
Census Tract 4058; Alameda County; California,06001405800,06,001,405800,1876,68859,4329,493
Census Tract 4059.01; Alameda County; California,06001405901,06,001,405901,1630,62543,4206,154
