EXISTING_USE,PROPOSED_USE,FLOW_COUNT
1 Family Dwelling,2 Family Dwelling,3111
2 Family Dwelling,Apartments,1816
Retail Sales,Food/Beverage Hndlng,1723
Vacant Lot,Apartments,1237
Apartments,2 Family Dwelling,982
2 Family Dwelling,1 Family Dwelling,874
Office,Retail Sales,680
Retail Sales,Office,638
Office,Food/Beverage Hndlng,575
Vacant Lot,2 Family Dwelling,427
Office,Apartments,400
Retail Sales,Apartments,370
Vacant Lot,1 Family Dwelling,314
Vacant Lot,Office,284
1 Family Dwelling,Apartments,268
