ISSUED_YEAR,PERMIT_TYPE,PERMIT_COUNT
2000,Additions Alterations Or Repairs,7653
2000,Demolitions,243
2000,Grade Or Quarry Or Fill Or Excavate,31
2000,New Construction,48
2000,New Construction Wood Frame,377
2000,Otc Alterations Permit,22051
2000,Sign - Erect,372
2000,Wall Or Painted Sign,120
2001,Additions Alterations Or Repairs,6679
2001,Demolitions,196
2001,Grade Or Quarry Or Fill Or Excavate,37
2001,New Construction,34
2001,New Construction Wood Frame,311
2001,Otc Alterations Permit,22027
2001,Sign - Erect,343
2001,Wall Or Painted Sign,80
2002,Additions Alterations Or Repairs,6003
2002,Demolitions,148
2002,Grade Or Quarry Or Fill Or Excavate,24
2002,New Construction,37
2002,New Construction Wood Frame,301
2002,Otc Alterations Permit,24387
2002,Sign - Erect,244
2002,Wall Or Painted Sign,53
2003,Additions Alterations Or Repairs,5893
2003,Demolitions,156
2003,Grade Or Quarry Or Fill Or Excavate,31
2003,New Construction,21
2003,New Construction Wood Frame,223
2003,Otc Alterations Permit,25922
2003,Sign - Erect,321
2003,Wall Or Painted Sign,62
2004,Additions Alterations Or Repairs,5317
2004,Demolitions,148
2004,Grade Or Quarry Or Fill Or Excavate,13
2004,New Construction,43
2004,New Construction Wood Frame,228
2004,Otc Alterations Permit,28017
2004,Sign - Erect,363
2004,Wall Or Painted Sign,68
2005,Additions Alterations Or Repairs,4697
2005,Demolitions,204
2005,Grade Or Quarry Or Fill Or Excavate,22
2005,New Construction,26
2005,New Construction Wood Frame,153
2005,Otc Alterations Permit,29230
2005,Sign - Erect,315
2005,Wall Or Painted Sign,78
2006,Additions Alterations Or Repairs,4692
2006,Demolitions,123
2006,Grade Or Quarry Or Fill Or Excavate,19
2006,New Construction,40
2006,New Construction Wood Frame,222
2006,Otc Alterations Permit,31032
2006,Sign - Erect,349
2006,Wall Or Painted Sign,39
2007,Additions Alterations Or Repairs,3890
2007,Demolitions,154
2007,Grade Or Quarry Or Fill Or Excavate,30
2007,New Construction,37
2007,New Construction Wood Frame,223
2007,Otc Alterations Permit,35092
2007,Sign - Erect,444
2007,Wall Or Painted Sign,62
2008,Additions Alterations Or Repairs,2136
2008,Demolitions,65
2008,Grade Or Quarry Or Fill Or Excavate,11
2008,New Construction,34
2008,New Construction Wood Frame,162
2008,Otc Alterations Permit,34352
2008,Sign - Erect,426
2008,Wall Or Painted Sign,60
2009,Additions Alterations Or Repairs,1547
2009,Demolitions,73
2009,Grade Or Quarry Or Fill Or Excavate,13
2009,New Construction,3
2009,New Construction Wood Frame,80
2009,Otc Alterations Permit,28661
2009,Sign - Erect,302
2009,Wall Or Painted Sign,44
2010,Additions Alterations Or Repairs,1470
2010,Demolitions,77
2010,Grade Or Quarry Or Fill Or Excavate,12
2010,New Construction,8
2010,New Construction Wood Frame,59
2010,Otc Alterations Permit,28007
2010,Sign - Erect,308
2010,Wall Or Painted Sign,59
2011,Additions Alterations Or Repairs,1491
2011,Demolitions,61
2011,Grade Or Quarry Or Fill Or Excavate,10
2011,New Construction,27
2011,New Construction Wood Frame,123
2011,Otc Alterations Permit,27534
2011,Sign - Erect,321
2011,Wall Or Painted Sign,54
2012,Additions Alterations Or Repairs,1597
2012,Demolitions,78
2012,Grade Or Quarry Or Fill Or Excavate,16
2012,New Construction,42
2012,New Construction Wood Frame,109
2012,Otc Alterations Permit,28079
2012,Sign - Erect,574
2012,Wall Or Painted Sign,96
2013,Additions Alterations Or Repairs,1703
2013,Demolitions,94
