PERMIT_TYPE,PROCESSING_DAYS
Additions Alterations Or Repairs,28
Additions Alterations Or Repairs,20
Additions Alterations Or Repairs,129
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,1
Additions Alterations Or Repairs,35
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,203
Otc Alterations Permit,0
Additions Alterations Or Repairs,17
Otc Alterations Permit,16
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,315
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,9
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,3
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,27
Otc Alterations Permit,0
Otc Alterations Permit,11
Additions Alterations Or Repairs,18
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,18
Additions Alterations Or Repairs,55
Otc Alterations Permit,5
Additions Alterations Or Repairs,17
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,1
Otc Alterations Permit,0
Additions Alterations Or Repairs,4
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,39
Additions Alterations Or Repairs,21
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,5
Otc Alterations Permit,0
Additions Alterations Or Repairs,13
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,65
Otc Alterations Permit,0
Otc Alterations Permit,652
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,459
Otc Alterations Permit,0
Otc Alterations Permit,0
Sign - Erect,1
Otc Alterations Permit,6
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,9
Otc Alterations Permit,8
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,50
Additions Alterations Or Repairs,19
Additions Alterations Or Repairs,16
Additions Alterations Or Repairs,169
Otc Alterations Permit,1
Otc Alterations Permit,0
Additions Alterations Or Repairs,83
Sign - Erect,0
Otc Alterations Permit,4
Additions Alterations Or Repairs,52
Otc Alterations Permit,6
Otc Alterations Permit,0
Otc Alterations Permit,798
Otc Alterations Permit,13
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,53
Otc Alterations Permit,0
Additions Alterations Or Repairs,41
Additions Alterations Or Repairs,1
Additions Alterations Or Repairs,15
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,71
Otc Alterations Permit,0
Otc Alterations Permit,76
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,4
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,16
Otc Alterations Permit,0
Additions Alterations Or Repairs,257
Otc Alterations Permit,0
Otc Alterations Permit,16
Additions Alterations Or Repairs,203
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,1
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,330
Otc Alterations Permit,0
Additions Alterations Or Repairs,43
Otc Alterations Permit,6
Otc Alterations Permit,1
Otc Alterations Permit,0
Additions Alterations Or Repairs,6
Additions Alterations Or Repairs,156
Otc Alterations Permit,0
Additions Alterations Or Repairs,182
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,7
Otc Alterations Permit,0
Sign - Erect,74
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,245
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,267
Grade Or Quarry Or Fill Or Excavate,95
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,1
Otc Alterations Permit,20
Otc Alterations Permit,0
Additions Alterations Or Repairs,11
Otc Alterations Permit,95
Additions Alterations Or Repairs,8
Additions Alterations Or Repairs,18
Additions Alterations Or Repairs,264
Otc Alterations Permit,3
Otc Alterations Permit,0
Additions Alterations Or Repairs,7
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Sign - Erect,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,69
Otc Alterations Permit,6
Sign - Erect,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,36
Otc Alterations Permit,3
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,55
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,47
Sign - Erect,0
Otc Alterations Permit,6
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,1
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,18
Otc Alterations Permit,0
Otc Alterations Permit,170
New Construction Wood Frame,295
Additions Alterations Or Repairs,99
Additions Alterations Or Repairs,13
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Otc Alterations Permit,0
Additions Alterations Or Repairs,176
Additions Alterations Or Repairs,320
Otc Alterations Permit,0
Additions Alterations Or Repairs,113
Otc Alterations Permit,49
Otc Alterations Permit,0
